;base;base;base;base;base;base;base;base;base;base;base;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n
;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750
Quando foi a batalha de Gettysburg?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os musicais com músicas de Elton John.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a altura do Farol em Colombo?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foi a esposa do presidente americano Lincoln?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o apresentador do BBC Wildlife Specials?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quanto custou Pulp Fiction?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que cidade fica a cervejaria Heineken?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quando começou a Operação Overlord?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que cidade termina a Rota 68 do Chile?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem desenvolveu o Slack?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foi casada com o presidente Chirac?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
De que morreu Bruce Carver?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem pintou Tormenta no Mar da Galileia?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em quais cidades o rio Weser passa?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantas cadeiras tem o estádio do Futebol Clube do Porto;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Com quem a filha de Robert Kennedy casou-se?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que livros de Kerouac foram publicados pela Viking Press?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a altura de Amazon Eve?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que museu está exposto O Grito de Munch?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem escreveu o livro Os Pilares da Terra?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
James Bond é casado?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem descobriu Ceres?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que rio a Ponte do Brooklyn cruza?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foi chamado de Frank The Tank?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual é o maior país do mundo;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o prefeito de Paris?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o treinador da equipe de hockey no gelo de Ankara?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o prefeito da capital da Polinésia Francessa?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que prêmios Douglas Hofstadter ganhou?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quanto custou The Lego Movie?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Onde começa a Piccadilly?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O Príncipe Harry e o Príncipe William têm os mesmos pais?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem interpretou o Agente Smith em Matrix?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantos idiomas são falados no Turquemenistão?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que filmes Julia Roberts e Richard Gere atuaram?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que país nasce o Ganges?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que ano nasceu Rachel Stevens?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Barack Obama é um Democrata?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Onde nasceu Bach?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantas vezes Jane Fonda se casou?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foi o primeiro a escalar o Monte Everest?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantas pessoas vivem na Polônia;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Onde fica o Palácio de Westminster?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Christian Bale atua em Batman Begins?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que país fica o Lago Limerick?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual foi o último filme de Alec Guinness?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a montanha mais alta da Austrália?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Frank Herbert ainda vive?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem criou Family Guy?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a língua oficial do Suriname?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem escreveu a canção Hotel California?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
